district,category,total_amount,total_count,source
강남구,ZZ_나머지,27846515,785,1.서울시민의 일별 소비지역별(행정동)
강남구,게임방/오락실,1699018,251,1.서울시민의 일별 소비지역별(행정동)
강남구,실내/실외골프장,331047,16,1.서울시민의 일별 소비지역별(행정동)
강남구,일반병원,736312,37,1.서울시민의 일별 소비지역별(행정동)
강남구,한식,1539368,59,1.서울시민의 일별 소비지역별(행정동)
강남구,호텔/콘도,2456421,32,1.서울시민의 일별 소비지역별(행정동)
마포구,결제대행(PG),11279897,187,1.서울시민의 일별 소비지역별(행정동)
마포구,생활잡화/수입상품점,464854,16,1.서울시민의 일별 소비지역별(행정동)
마포구,의복/의류,569721,16,1.서울시민의 일별 소비지역별(행정동)
마포구,주유소,1644448,32,1.서울시민의 일별 소비지역별(행정동)
마포구,택시,5771000,459,1.서울시민의 일별 소비지역별(행정동)
마포구,패스트푸드,488027,53,1.서울시민의 일별 소비지역별(행정동)
마포구,한식,320368,16,1.서울시민의 일별 소비지역별(행정동)
서초구,고속버스/철도/여객선,315028,16,1.서울시민의 일별 소비지역별(행정동)
서초구,기타식품,274982,21,1.서울시민의 일별 소비지역별(행정동)
서초구,백화점,803963,16,1.서울시민의 일별 소비지역별(행정동)
서초구,약국,2529305,240,1.서울시민의 일별 소비지역별(행정동)
서초구,양식,2880107,59,1.서울시민의 일별 소비지역별(행정동)
서초구,완구/아동용자전거,133487,16,1.서울시민의 일별 소비지역별(행정동)
서초구,주유소,2205199,37,1.서울시민의 일별 소비지역별(행정동)
서초구,커피전문점,1393600,198,1.서울시민의 일별 소비지역별(행정동)
서초구,편의점,108391,27,1.서울시민의 일별 소비지역별(행정동)
서초구,한식,35245363,700,1.서울시민의 일별 소비지역별(행정동)
영등포구,ZZ_나머지,22732226,812,1.서울시민의 일별 소비지역별(행정동)
영등포구,결제대행(PG),20151807,694,1.서울시민의 일별 소비지역별(행정동)
영등포구,기타요식,697334,27,1.서울시민의 일별 소비지역별(행정동)
영등포구,대형마트,4651955,91,1.서울시민의 일별 소비지역별(행정동)
영등포구,영화/공연,258964,43,1.서울시민의 일별 소비지역별(행정동)
영등포구,커피전문점,294738,32,1.서울시민의 일별 소비지역별(행정동)
영등포구,편의점,687082,107,1.서울시민의 일별 소비지역별(행정동)
영등포구,한식,4768677,106,1.서울시민의 일별 소비지역별(행정동)
종로구,쇼핑몰,3061847,59,1.서울시민의 일별 소비지역별(행정동)
종로구,전자상거래(다품목취급),13257282,390,1.서울시민의 일별 소비지역별(행정동)
