district,dong,total_population,male,female,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70plus
종로구,청운효자동,10835,4906,5929,495,1004,1243,1511,1691,1859,1420,1612
종로구,사직동,8908,3915,4993,378,607,1001,1434,1382,1466,1278,1362
종로구,삼청동,2114,1005,1109,68,155,218,271,288,316,360,438
종로구,부암동,8926,4175,4751,330,746,1026,1161,1311,1590,1374,1388
종로구,평창동,17010,7857,9153,869,1506,1752,1979,2409,2956,2863,2676
종로구,무악동,7658,3502,4156,465,850,791,788,1207,1355,1108,1094
종로구,교남동,9430,4295,5135,616,737,1045,1380,1570,1695,1173,1214
종로구,가회동,3616,1679,1937,126,283,330,505,547,639,548,638
종로구,종로1.2.3.4가동,6637,4002,2635,139,226,894,1045,802,1052,1253,1226
종로구,종로5.6가동,5431,2799,2632,139,196,1157,1014,589,774,811,751
종로구,이화동,7042,3255,3787,141,329,1512,1276,798,977,968,1041
종로구,혜화동,15572,7447,8125,427,1103,4139,2054,1784,2283,1735,2047
종로구,창신제1동,4414,2323,2091,95,148,509,610,446,735,1028,843
종로구,창신제2동,7158,3666,3492,139,270,775,877,730,1489,1553,1325
종로구,창신제3동,6111,2979,3132,249,372,687,918,735,1093,1108,949
종로구,숭인제1동,5698,2763,2935,166,317,678,787,782,1037,995,936
종로구,숭인제2동,10238,4971,5267,214,294,2314,2226,1076,1467,1415,1232
마포구,아현동,28956,13379,15577,2738,2293,2785,5739,5365,4227,3284,2525
마포구,공덕동,35875,16648,19227,1663,2057,5095,6767,4890,5887,5043,4473
마포구,도화동,20225,9563,10662,1148,1397,2344,3641,2811,3183,2950,2751
마포구,용강동,21083,9819,11264,1696,2238,1870,3339,4115,3247,2312,2266
마포구,대흥동,14212,6773,7439,486,875,3490,2468,1851,2119,1520,1403
마포구,염리동,16780,7986,8794,1206,1826,2212,2575,3197,2600,1613,1551
마포구,신수동,21905,10654,11251,1281,1744,3210,3399,3333,3818,2598,2522
마포구,서강동,24250,11560,12690,1386,1663,4518,4045,3591,3755,2731,2561
마포구,서교동,23477,10686,12791,579,963,5345,5371,3322,3085,2337,2475
마포구,합정동,15602,7108,8494,488,706,2506,3626,2320,2125,1897,1934
마포구,망원제1동,18426,8518,9908,584,922,2788,3608,2711,2818,2435,2560
마포구,망원제2동,17204,7972,9232,665,1258,2296,2893,2623,2892,2205,2372
마포구,연남동,13762,6408,7354,416,607,2543,2967,1971,1929,1592,1737
마포구,성산제1동,18301,8365,9936,564,1181,2766,3412,2798,3052,2264,2264
마포구,성산제2동,38075,16780,21295,1636,2598,6429,7063,5030,5861,4555,4903
마포구,상암동,29099,13567,15532,1632,3359,4142,3638,4545,5205,3359,3219
영등포구,영등포본동,20262,10394,9868,1012,1039,2365,3308,2645,3341,3373,3179
영등포구,영등포동,31177,15790,15387,938,818,7336,9776,3707,3262,2903,2437
영등포구,여의동,34008,15947,18061,2272,2902,3499,5094,5359,5461,4490,4931
영등포구,당산제1동,21043,10085,10958,909,891,3424,5322,2693,2696,2586,2522
