district,quarter,zone_type,zone_code,zone_name,business_type,monthly_sales,monthly_count,mon_sales,tue_sales,wed_sales,thu_sales,fri_sales,sat_sales,sun_sales,male_sales,female_sales,age_10s_sales,age_20s_sales,age_30s_sales,age_40s_sales,age_50s_sales,age_60plus_sales
종로구,20241,골목상권,3110006,부암동주민센터,커피-음료,51426053,4038,2272170,2806285,5199995,6282942,8895203,13642291,12327167,20579196,28797052,32701,11401890,13517034,8390104,9995187,6039333
종로구,20241,골목상권,3110007,사직공원(한국사회과학도서관),한식음식점,20613418,235,1017918,5291418,7531522,1744992,1183526,3844042,0,4095793,3499471,0,1990353,182816,1512006,2897046,1013042
종로구,20241,골목상권,3110007,사직공원(한국사회과학도서관),커피-음료,2243575,282,144801,105361,163958,452434,223118,563429,590474,1015863,1227712,0,372427,902613,598362,297491,72682
종로구,20241,골목상권,3110010,평창동서측,한식음식점,23319305,1080,3793854,4180074,3291528,4176394,6020370,1857085,0,13818972,7332239,0,63696,589091,5850803,4662541,9985082
종로구,20241,골목상권,3110010,평창동서측,제과점,251805417,24085,29455010,27463272,41990434,35967326,38628752,40460264,37840359,105963655,127555288,4053900,17313715,34661029,58536444,50649446,68304409
종로구,20241,골목상권,3110010,평창동서측,분식전문점,93595331,8444,15546591,12922740,13256142,13172114,13765732,19737165,5194847,36634953,48823184,3200886,16123076,13512556,23531190,17801914,11288516
종로구,20241,골목상권,3110010,평창동서측,호프-간이주점,36917499,925,3526229,8535103,6807651,13362674,2209704,2476138,0,2917390,7345167,718785,2047500,1225783,2859966,1570835,1839687
종로구,20241,골목상권,3110010,평창동서측,커피-음료,15633537,1645,1645636,3565544,3565543,1371363,3291271,2194180,0,5348315,5074043,0,0,1234227,3976953,3291271,1919908
종로구,20241,골목상권,3110010,평창동서측,일반교습학원,326663585,726,81245670,72132336,30599359,35178660,28513419,11912855,67081286,123828130,202835455,0,0,0,212627383,114036202,0
종로구,20241,골목상권,3110010,평창동서측,예술학원,6000000,37,1152886,0,2477902,326277,587698,1455237,0,2447446,3552555,0,546507,2029812,3078854,344828,0
종로구,20241,골목상권,3110010,평창동서측,미용실,15732205,352,1992334,955163,1852437,723608,4669684,3106690,2432289,6758671,8249926,0,466573,341304,3091242,4328540,6780939
종로구,20241,골목상권,3110010,평창동서측,피부관리실,12315789,9,0,0,0,12315789,0,0,0,0,12315789,0,0,0,0,12315789,0
