quarter,district,dong,total_foot_traffic,male_foot_traffic,female_foot_traffic,age_10s,age_20s,age_30s,age_40s,age_50s,age_60plus,time_00_06,time_06_11,time_11_14,time_14_17,time_17_21,time_21_24,mon,tue,wed,thu,fri,sat,sun
20253,강남구,수서동,2232614,1059639,1172976,299622,222613,343111,384536,330846,651884,436555,518446,338065,314526,370389,254631,339704,342348,343067,340988,330808,273788,261912
20253,강남구,일원2동,1360721,676547,684172,366224,120390,185660,278098,181878,228468,394059,294487,146757,143295,196424,185696,196180,196640,197909,197333,195306,186294,191056
20253,강남구,일원1동,2493544,1199692,1293852,332642,323500,418393,462030,368897,588082,647844,529575,294953,287623,406568,326982,359746,359462,357512,356323,354809,349400,356293
20253,강남구,일원본동,2422166,1163863,1258302,679244,186376,252062,438735,334017,531732,744510,534480,251011,226397,325458,340309,351791,353386,353015,350942,344693,328557,339779
20253,강남구,세곡동,3382325,1543964,1838361,884129,323208,482919,577353,417999,696717,947807,711730,371107,365562,530039,456080,482926,480930,483113,477707,476680,483789,497183
20253,강남구,개포4동,3410027,1608282,1801746,594322,377409,551330,627914,579047,680004,961089,730237,401093,389862,506302,421446,500361,496357,497707,496053,487574,463998,467979
20253,강남구,개포2동,2144568,958558,1186010,554461,183015,261021,396506,295610,453955,531593,464211,265606,258754,350977,273428,310366,309188,311456,310628,309908,300913,292111
20253,강남구,개포1동,2143956,957480,1186474,604306,153795,231251,422113,279059,453432,652054,460317,217962,209096,305245,299282,301551,300965,301558,299547,301163,308129,331044
20253,강남구,도곡2동,4089946,1857644,2232304,1007714,392925,486072,864654,634402,704180,967579,865995,561141,546346,666568,482317,598226,598709,602770,599490,592859,554413,543477
20253,강남구,도곡1동,8695467,4073713,4621755,1829806,923494,1344797,1794052,1277316,1526002,2044651,1828866,1152773,1162894,1433230,1073053,1270284,1295350,1297828,1283514,1261164,1149033,1138292
20253,강남구,역삼2동,12482409,5943534,6538877,2538513,1824585,2246631,2681202,1741069,1450409,2635537,2769448,1896136,1878107,1981469,1321712,1904222,1939360,1941446,1919853,1841815,1499044,1436669
20253,강남구,역삼1동,20900630,10667096,10233536,1375068,4856762,5738500,4339129,2500730,2090439,3297784,4299833,3681560,3672760,3936783,2011909,3250689,3346118,3336910,3331577,3181686,2361804,2091847
20253,강남구,대치4동,10740014,5341700,5398313,3132481,1435423,1613186,1982158,1483749,1093018,1953878,2083263,1637031,1694981,2184453,1186410,1555959,1580835,1579520,1590792,1559721,1491947,1381239
20253,강남구,대치2동,6783054,3629545,3153509,2114503,777306,953404,1336461,853657,747722,1099950,1401501,1104775,1170807,1339241,666779,1022879,1028864,1015281,1025273,989321,879906,821530
20253,강남구,대치1동,4501935,2162882,2339056,1949297,334180,281156,860342,568416,508544,1030727,874912,563684,617299,858062,557250,643090,644798,630323,644254,641568,663322,634580
20253,강남구,삼성2동,8923470,4372146,4551323,1417584,1250596,1759895,1994782,1322430,1178182,2080818,1948971,1264933,1257302,1378525,992922,1361846,1382451,1370846,1366618,1309302,1081603,1050803
20253,강남구,삼성1동,4991598,2508263,2483336,563008,734519,1095155,1114697,761507,722712,749233,1099023,908437,897818,890249,446838,741265,768772,770917,783594,754308,614179,558562
20253,강남구,청담동,9185850,4278345,4907505,1183071,1346814,1824935,1981873,1363751,1485407,1828718,1985202,1443839,1403820,1547161,977112,1317549,1380471,1390897,1392783,1382128,1229162,1092860
20253,강남구,압구정동,7593147,3432602,4160545,1080702,1287407,1494096,1553399,1023301,1154242,1217435,1443120,1301792,1333648,1513411,783740,1081866,1131660,1128390,1144280,1159691,1045169,902089
20253,강남구,논현2동,11920183,5918761,6001422,1158704,2025729,2895638,2628053,1627371,1584687,2259687,2466428,1967185,1961877,2056119,1208887,1830003,1884822,1894306,1880437,1785655,1384772,1260187
20253,강남구,논현1동,9474796,4526438,4948358,578043,2063196,2512905,1954327,1172797,1193529,1937626,1988758,1436034,1448214,1650708,1013456,1429875,1455899,1456892,1454343,1417959,1173714,1086114
20253,강남구,신사동,6653298,3076687,3576610,803157,1207942,1428698,1383319,912746,917437,1031414,1271915,1141648,1186832,1358962,662526,973335,1011186,1004253,1008428,1015784,884512,755800
20253,서초구,내곡동,1843178,908350,934827,580495,147190,219228,317065,218725,360475,515325,407744,213058,204583,264793,237674,266172,270272,268175,268230,264772,249772,255785
20253,서초구,양재2동,5698690,2973970,2724719,687708,782408,1227555,1153399,906405,941215,1262851,1245539,817430,793210,931420,648241,854154,859033,860167,858435,838426,721502,706973
20253,서초구,양재1동,8747732,4388835,4358897,1439337,1073030,1687826,1703576,1262496,1581465,1863740,1910533,1301900,1264872,1444585,962102,1334615,1344672,1344365,1340969,1276016,1053425,1053669
20253,서초구,방배4동,6246541,2769734,3476806,1149765,784082,940983,1176774,973396,1221540,1521253,1300728,782746,788016,1070838,782960,906032,907943,905702,905131,906858,864707,850167
20253,서초구,방배3동,3438475,1593283,1845193,632670,443189,483255,592618,540225,746518,965066,782066,404890,378033,475034,433387,497786,504905,507205,505648,492888,461734,468310
20253,서초구,방배2동,4440915,2038352,2402563,675016,658996,739789,718866,660680,987570,1046016,904245,564023,562658,807117,556857,638082,639142,643346,644549,652336,626916,596543
20253,서초구,방배1동,4397988,2036463,2361525,816040,607270,764402,766349,625185,818740,1105385,911207,558231,557676,728587,536903,642277,647680,647560,645313,627890,597580,589687
20253,서초구,방배본동,4759818,2141069,2618749,1040006,496246,595747,914701,749919,963202,1264576,987593,566705,568779,766451,605715,681513,683122,686258,682767,679131,672901,674127
20253,서초구,반포4동,5279474,2422285,2857189,1470833,449444,613914,1085083,758998,901202,1287012,1056829,669045,710797,924206,631586,771754,775497,768553,773128,767230,727967,695343
20253,서초구,반포3동,3302145,1493070,1809075,802248,366002,395371,632505,534674,571345,714676,659826,433312,460667,627548,406115,459248,463069,467677,470591,479752,490710,471099
20253,서초구,반포2동,1939613,884401,1055213,548853,193798,230510,387506,281728,297219,418472,436063,269240,266433,330266,219139,276006,279469,281409,283487,283850,271479,263913
20253,서초구,반포1동,6697039,3220363,3476676,1101409,1070555,1356896,1408013,862272,897894,1636937,1399435,862463,870656,1118098,809451,969854,975808,975025,978845,975428,936639,885441
20253,서초구,반포본동,515061,288039,227022,92596,59197,75472,103725,94608,89465,86249,143164,78274,74535,81291,51547,76018,77794,76745,78129,78218,69704,58453
20253,서초구,잠원동,6977070,3312425,3664644,1218773,963030,1219439,1462766,1042179,1070884,1615004,1483472,952327,956501,1161902,807866,1025993,1036791,1029976,1037352,1027232,941967,877758
20253,서초구,서초4동,6597918,3122302,3475615,1134630,1276381,1199142,1276417,874913,836437,1248661,1335791,1035254,1042000,1220247,715966,990890,1006146,995208,1004412,1002950,860866,737446
20253,서초구,서초3동,12272542,6113004,6159538,1625716,1920322,2389677,2445494,1947035,1944297,2359845,2676367,1962358,1919732,2091884,1262354,1843308,1891714,1892018,1886634,1808831,1478439,1471600
20253,서초구,서초2동,7092897,3537020,3555877,843671,1183836,1681960,1566527,972265,844640,1236063,1557977,1189791,1159638,1250890,698538,1110243,1136434,1132272,1126790,1078850,793011,715297
20253,서초구,서초1동,7737320,3750707,3986613,1073330,1179048,1394666,1519901,1215518,1354856,1600287,1691497,1159666,1142464,1306499,836907,1172552,1179470,1182294,1177635,1151497,967079,906794
20253,영등포구,대림3동,6627927,3205243,3422683,563164,848024,1154412,1119159,1231139,1712028,1632491,1351383,786358,802247,1177157,878291,941079,936548,940345,935293,937694,956789,980179
20253,영등포구,대림2동,4616194,2278681,2337515,308432,559912,827056,836933,924546,1159315,1227250,920114,525522,537007,787191,619112,649957,643521,644707,642772,641403,675275,718558
20253,영등포구,대림1동,4155361,1937425,2217937,405394,504942,594416,687504,801581,1161527,1143647,838504,465307,467190,679066,561646,582693,578895,585428,577493,577505,604517,648831
20253,영등포구,신길7동,3662659,1689078,1973582,711361,510082,613477,601140,525614,700985,921693,769306,427165,430799,634023,479673,520886,520742,522272,521001,518476,529309,529972
20253,영등포구,신길6동,5973799,2737744,3236054,970637,850987,1048996,966328,866806,1270046,1648209,1252351,661924,649803,972359,789152,854635,851146,854560,851339,847064,855038,860018
20253,영등포구,신길5동,2915361,1348686,1566677,428582,309055,439627,498576,486522,752999,771842,616211,335509,323422,481390,386987,412424,407482,408684,403819,409824,430915,442212
20253,영등포구,신길4동,2503634,1193777,1309857,295669,290064,395718,408783,397333,716068,759223,506183,252149,252455,385146,348479,354766,352255,350113,347294,350168,363547,385493
20253,영등포구,신길3동,6230816,2997088,3233728,1032060,720344,971317,937708,983374,1586014,1773262,1243942,659863,671446,1023330,858975,879370,871377,870182,863848,873061,923455,949522
20253,영등포구,신길1동,5547237,2713414,2833823,604443,894134,1011636,845758,837817,1353449,1563935,1173946,602413,593825,870447,742672,788199,787885,785472,782413,783206,800088,819974
