district,area,rent_2024Q3,rent_2024Q4,rent_2025Q1,rent_2025Q2,rent_2025Q3,rent_2025Q4
종로구,도심,82.9,82.8,82.8,82.8,82.6,82.7
종로구,남대문,188.1,188.2,187.8,188.8,189.3,189.7
종로구,동대문,96.3,96.3,96.3,96.3,95.8,95.7
종로구,방산시장,57.4,57.4,57.4,57.4,57.4,57.4
종로구,종로,47.3,47.4,47.4,47.4,47.5,47.7
강남구,강남,55.2,55.3,55.4,55.6,55.9,56.2
강남구,강남대로,82.0,82.4,82.6,82.9,83.7,84.5
서초구,교대역,42.3,42.3,42.3,42.4,42.5,42.6
서초구,남부터미널,31.8,31.8,31.8,31.9,32.1,32.3
강남구,논현역,54.9,54.9,55.0,55.3,55.5,55.6
강남구,도산대로,64.4,64.6,64.5,64.6,64.6,64.7
강남구,신사역,68.3,68.5,68.6,68.8,68.8,69.2
강남구,압구정,62.7,62.8,62.6,62.9,63.0,63.6
강남구,청담,69.5,70.6,71.4,71.8,72.0,72.2
강남구,테헤란로,73.6,73.6,73.7,73.7,74.0,74.4
강남구,한티역,69.9,70.0,70.2,70.3,70.7,71.1
영등포구,영등포신촌,38.4,38.4,38.4,39.5,39.6,39.7
영등포구,당산역,31.3,31.3,31.3,31.3,31.4,31.4
마포구,신촌/이대,75.3,75.1,75.1,74.9,75.0,75.0
영등포구,여의도,56.8,56.9,57.1,57.4,57.6,58.0
영등포구,영등포역,30.2,30.2,30.2,30.3,30.4,30.6
마포구,홍대/합정,35.3,35.2,35.1,37.3,37.3,37.5
